6,14
11,21
8,41
14,35
40,7
30,17
24,41
15,19
3,11
41,4
2,30
3,49
7,20
23,9
18,5
28,19
45,22
30,14
24,14
5,46
37,5
14,20
38,24
15,37
35,8
15,8
45,44
50,5
43,50
6,43
9,24
6,40
13,18
14,25
22,2
26,34
18,16
24,12
33,46
17,20
20,5
22,48
28,31
28,27
39,4
36,40
42,40
34,4
13,43
25,9
34,33
30,45
11,16
48,30
3,35
40,41
7,25
8,41
50,40
4,3
4,17
31,9
40,44
8,16
34,43
20,45
30,41
38,44
5,27
31,24
32,34
3,26
6,45
22,46
40,36
23,13
5,32
8,6
38,47
49,48
14,47
40,32
1,29
3,45
32,4
23,24
31,40
28,41
26,32
35,12
40,49
35,8
23,5
46,18
18,42
45,17
19,20
29,33
40,47
7,
